Title,Speaker,Date Posted,Link
3 ways to plan for the (very) long term,Ari Wallach,Apr 2017,https://www.ted.com/talks/ari_wallach_3_ways_to_plan_for_the_very_long_term
3 ways to practice civility,Steven Petrow,Feb 2019,https://www.ted.com/talks/steven_petrow_3_ways_to_practice_civility
3 ways to prepare society for the next pandemic,Jennifer B. Nuzzo,Dec 2021,https://www.ted.com/talks/jennifer_b_nuzzo_3_ways_to_prepare_society_for_the_next_pandemic
3 ways to spot a bad statistic,Mona Chalabi,Mar 2017,https://www.ted.com/talks/mona_chalabi_3_ways_to_spot_a_bad_statistic
3 ways to upgrade democracy for the 21st century,Max Rashbrooke,Jan 2021,https://www.ted.com/talks/max_rashbrooke_3_ways_to_upgrade_democracy_for_the_21st_century
3 ways to uproot a culture of corruption,Wanjira Mathai,Feb 2020,https://www.ted.com/talks/wanjira_mathai_3_ways_to_uproot_a_culture_of_corruption
3 ways we can redesign cities for equity and inclusion,Vishaan Chakrabarti,Jun 2020,https://www.ted.com/talks/vishaan_chakrabarti_3_ways_we_can_redesign_cities_for_equity_and_inclusion
3 ways your company's data can jump-start climate action,Massimo Russo,Mar 2022,https://www.ted.com/talks/massimo_russo_3_ways_your_company_s_data_can_jump_start_climate_action
3 ways your money can fight climate change,Veronica Chau,May 2023,https://www.ted.com/talks/veronica_chau_3_ways_your_money_can_fight_climate_change
4 kinds of regret — and what they teach you about yourself,Daniel H. Pink,Feb 2022,https://www.ted.com/talks/daniel_h_pink_4_kinds_of_regret_and_what_they_teach_you_about_yourself
4 larger-than-life lessons from soap operas,Kate Adams,Dec 2016,https://www.ted.com/talks/kate_adams_4_larger_than_life_lessons_from_soap_operas
"4 lessons the pandemic taught us about work, life and balance",Patty McCord,Mar 2021,https://www.ted.com/talks/patty_mccord_4_lessons_the_pandemic_taught_us_about_work_life_and_balance
4 myths and misunderstandings about doing business in Africa,Nomava Zanazo,Apr 2021,https://www.ted.com/talks/nomava_zanazo_4_myths_and_misunderstandings_about_doing_business_in_africa
4 proven ways to kick your procrastination habit,Ayelet Fishbach,Feb 2023,https://www.ted.com/talks/ayelet_fishbach_4_proven_ways_to_kick_your_procrastination_habit
4 questions you should always ask your doctor,Christer Mjåset,Sep 2019,https://www.ted.com/talks/christer_mjaset_4_questions_you_should_always_ask_your_doctor
4 reasons to learn a new language,John McWhorter,Oct 2016,https://www.ted.com/talks/john_mcwhorter_4_reasons_to_learn_a_new_language
